FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;160;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;158;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;153;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;157;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;157;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;159;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;164;;
A;Annuale;4001;Acceglio;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;171;e;Dato stimato
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;223;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;219;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;210;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;205;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;211;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;213;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;204;;
A;Annuale;4002;Aisone;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;206;e;Dato stimato
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;31459;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;31516;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;31250;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;31095;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;31229;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;31146;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;30987;;
A;Annuale;4003;Alba;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;30985;e;Dato stimato
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;226;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;232;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;234;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;221;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;218;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;215;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;215;;
A;Annuale;4004;Albaretto della Torre;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;205;e;Dato stimato
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;129;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;137;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;139;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;142;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;149;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;151;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;157;;
A;Annuale;4005;Alto;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;152;e;Dato stimato
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;72;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;74;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;78;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;78;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;80;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;80;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;77;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;76;e;Dato stimato
