Regione;"Celle 20m x 20m
raggiunte";Punti terminazione dichiarati;"Punti terminazione geograficamente distinti
(passo 5m)";"Indirizzi postali distinti
(se forniti/disponibili)";"Celle 20m x 20m
raggiunte
FTTH";"Punti terminazione dichiarati
FTTH";"Punti terminazione geograficamente distinti (passo 5m)
FTTH";"Indirizzi postali distinti
(se forniti/disponibili)
FTTH"
Abruzzo;286114;2254921;588921;1443728;104887;240181;197747;238335
Basilicata;99508;1094883;277816;650663;26287;68523;59974;79070
Calabria;363870;4774593;856372;2618760;52669;147774;105913;263053
Campania;700420;6446926;1589319;4051390;218877;563729;453683;730467
Emilia-Romagna;1033075;6143348;1820265;3388659;285646;610867;486541;483471
Friuli Venezia Giulia;378319;2077682;596925;878494;110866;180279;152041;114038
Lazio;855944;7200628;1828769;3476432;271979;613969;501028;679797
Liguria;276900;2313549;548592;1142292;63520;234726;134159;239233
Lombardia;1799336;10491451;3164180;4971807;490640;895397;738487;577854
Marche;347598;2247634;657577;1535184;86292;155673;140661;141545
Molise;72671;657613;189707;519035;36531;91071;81738;97726
Piemonte;901907;4456109;1548004;2458137;242366;452087;370834;251033
Puglia;615333;7479892;1813653;3501588;138327;495839;375334;556946
Sardegna;371847;2951940;874979;2141371;69431;141303;130157;102878
Sicilia;818466;10320072;2508509;5043456;312422;1104470;809226;1093214
Toscana;776968;6151856;1601369;3292172;200425;515303;392203;502953
Trentino-Alto Adige;231999;981751;368700;638783;59026;101001;83974;59567
Umbria;193086;1191936;347390;694406;70120;138889;116728;115136
Valle d'Aosta;43506;166139;74194;111734;7388;10823;10556;2442
Veneto;1309600;6886636;2135638;3494756;370413;725939;589237;528432
