Regione;"Celle 20m x 20m
raggiunte";Punti dichiarati;"Punti geograficamente distinti
(passo 5m)";"Indirizzi postali distinti
(se fornito/disponibile)";"Celle 20m x 20m
raggiunte
FTTH";Punti dichiarati FTTH;"Punti Geograficamente Distinti (passo 5m)
FTTH";"Indirizzi postali distinti
(se forniti/disponibili)
FTTH";"Celle 20m x 20m
raggiunte
FTTC";Famiglie Residenti;Famiglie raggiunte FTTH (calcolato)
Abruzzo;308725;2503321;606582;1814375;124594;409537;286769;919068;198256;500115;362982
Basilicata;106459;1224994;283987;747111;44561;197974;125795;430933;71877;210940;148492
Calabria;407410;5129120;854663;2960747;129725;440227;285016;1375597;331574;715856;434034
Campania;734859;7024801;1643308;4786475;255590;968456;664435;2224033;541429;1970317;1432986
Emilia-Romagna;1251350;6488591;1855729;5391952;382102;897854;721004;1555344;791363;1912237;1333122
Friuli-Venezia Giulia;381773;2173925;593833;1032174;125364;255684;201653;389679;322776;524722;340993
Lazio;928166;7796175;1846963;4349023;331286;1009970;750138;2031229;681598;2378368;1826855
Liguria;323587;2433538;574452;1396536;90682;315392;200586;548001;205153;709231;474696
Lombardia;1788526;15097293;3530953;6233227;631680;2167765;1233020;2499101;1387118;4229092;2987176
Marche;388595;2516652;705545;1927802;138795;365308;280402;851174;247328;589459;430517
Molise;79275;779508;210772;664133;41527;207209;128724;460461;40746;115949;98529
Piemonte;998399;4717788;1569469;3224718;308303;710414;559101;1295113;490103;1871950;1339401
Puglia;659445;8373147;1922214;4030718;257508;1150467;833077;2025590;588334;1462274;1068149
Sardegna;405814;3380080;915361;2601076;120805;351902;271837;937497;303800;638406;374442
Sicilia;823959;11531178;2634260;5776655;414034;2095146;1443963;3580783;674103;1865205;1510439
Toscana;861861;6514101;1658881;4320307;255606;786766;584089;1401904;654091;1526175;949017
Trentino-Alto Adige;248655;1057036;375543;851541;71521;145016;118202;255692;114395;440466;264281
Umbria;213243;1293969;345559;892559;78241;219090;156971;427322;135417;345898;236067
Valle d'Aosta;48992;178974;78471;141044;10348;22183;19112;35645;15225;56874;32298
Veneto;1363089;7277603;2096012;4341384;439837;959289;753627;1697313;936073;1946251;1262352
