Regione;"Celle 20m x 20m
raggiunte";Punti dichiarati;"Punti geograficamente distinti
(passo 5m)";"Indirizzi postali distinti
(se fornito/disponibile)";"Celle 20m x 20m
raggiunte
FTTH";Punti dichiarati FTTH;"Punti Geograficamente Distinti (passo 5m)
FTTH";"Indirizzi postali distinti
(se forniti/disponibili)
FTTH";"Celle 20m x 20m
raggiunte
FTTC";Famiglie Residenti;Famiglie raggiunte FTTH (calcolato);Famiglie raggiunte FTTH  20 m (calcolato);Copertura FTTH DESI;Confidenza DESI;Copertura FTTH 20m
Abruzzo;310207;2708751;637235;1817651;154937;532587;355683;1125769;202629;498909;401725;339911;81%;85%;68%
Basilicata;107737;1286762;292624;748875;52057;233829;147019;484071;73248;209235;161092;136294;77%;85%;65%
Calabria;411183;5303537;877339;2964982;144828;512233;322403;1503056;337642;712754;460211;378485;65%;82%;53%
Campania;738719;7367456;1729783;4792155;309061;1202629;810082;2585386;546521;1964788;1572333;1274169;80%;81%;65%
Emilia-Romagna;1253373;6847678;1948208;5387307;464466;1136766;897713;1923363;803164;1918433;1483242;1205084;77%;81%;63%
Friuli Venezia Giulia;382186;2262015;612419;1032572;144973;311045;241140;451752;325509;524854;370916;293452;71%;79%;56%
Lazio;931096;8282962;1945087;4352673;402093;1337547;949033;2399888;693698;2376040;1973656;1725003;83%;87%;73%
Liguria;323934;2575215;612338;1397271;98424;395818;240712;548590;206833;709844;471311;404975;66%;86%;57%
Lombardia;1790642;15722386;3694417;6237115;805489;2915676;1666169;3106484;1400952;4244371;3354907;2745966;79%;82%;65%
Marche;389061;2660788;732339;1930334;157484;450462;335195;980248;251820;588861;445627;348061;76%;78%;59%
Molise;79692;823866;219055;664469;43419;224377;137163;482954;41806;115384;99064;84522;86%;85%;73%
Piemonte;999620;4951806;1647283;3227338;345587;861839;661823;1433657;494226;1872042;1370341;1108211;73%;81%;59%
Puglia;660300;8816893;2022560;4034772;334553;1491635;1073290;2546225;593288;1455812;1220613;1047916;84%;86%;72%
Sardegna;406956;3601989;937913;2603638;180565;532452;396151;1402218;307238;635310;469680;398378;74%;85%;63%
Sicilia;838749;12280242;2802058;5857955;494088;2520626;1718955;4197003;695022;1858656;1655348;1476064;89%;89%;79%
Toscana;863525;6810655;1735756;4325581;304855;990723;721897;1652094;660630;1525525;1041575;843754;68%;81%;55%
Trentino-Alto Adige;248732;1129349;391655;852727;81151;177039;141809;293378;119392;442725;278295;212619;63%;76%;48%
Umbria;213968;1338813;353489;894368;82143;237145;166995;454025;137233;344537;238191;194279;69%;82%;56%
Valle d'Aosta;49009;187832;82005;141225;11901;27407;23189;41563;15479;56757;33278;21785;59%;65%;38%
Veneto;1364494;7735053;2203215;4345325;529630;1218780;934351;2016769;953402;1947226;1426002;1086659;73%;76%;56%
